UNITID,OPEID6,INSTNM,CONTROL,MAIN,CIPCODE,CIPDESC,CREDLEV,CREDDESC,IPEDSCOUNT1,IPEDSCOUNT2,DEBT_ALL_STGP_EVAL_N,DEBT_ALL_STGP_EVAL_MDN,EARN_MDN_HI_1YR,EARN_COUNT_WNE_1YR,EARN_MDN_1YR,EARN_COUNT_WNE_5YR,EARN_MDN_5YR
101240,1017,Gadsden State Community College,Public,1,1907,"Human Development, Family Studies, and Related Services.",1,Undergraduate Certificate or Diploma,15,16,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,2203,Legal Support Services.,1,Undergraduate Certificate or Diploma,12,6,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,4601,Mason/Masonry.,1,Undergraduate Certificate or Diploma,10,12,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,4602,Carpenters.,1,Undergraduate Certificate or Diploma,17,5,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,4703,Heavy/Industrial Equipment Maintenance Technologies/Technicians.,1,Undergraduate Certificate or Diploma,286,258,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,4706,Vehicle Maintenance and Repair Technologies/Technicians.,1,Undergraduate Certificate or Diploma,40,63,PS,PS,PS,23,31387,21,48539
101240,1017,Gadsden State Community College,Public,1,4805,Precision Metal Working.,1,Undergraduate Certificate or Diploma,110,102,PS,PS,PS,26,41252,30,42143
101240,1017,Gadsden State Community College,Public,1,5107,Health and Medical Administrative Services.,1,Undergraduate Certificate or Diploma,15,5,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,Undergraduate Certificate or Diploma,34,211,PS,PS,25651,19,34083,PS,PS
101240,1017,Gadsden State Community College,Public,1,5135,Somatic Bodywork and Related Therapeutic Services.,1,Undergraduate Certificate or Diploma,7,3,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Undergraduate Certificate or Diploma,69,75,PS,PS,35266,PS,PS,58,50080
101240,1017,Gadsden State Community College,Public,1,5203,Accounting and Related Services.,1,Undergraduate Certificate or Diploma,13,10,PS,PS,PS,PS,PS,PS,PS
101240,1017,Gadsden State Community College,Public,1,5204,Business Operations Support and Assistant Services.,1,Undergraduate Certificate or Diploma,7,23,PS,PS,PS,PS,PS,PS,PS
101277,41872,New Beginning College of Cosmetology,"Private, for-profit",1,1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,44,40,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,16,25,PS,PS,NA,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,66,73,PS,PS,12218,46,19828,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,1505,Environmental Control Technologies/Technicians.,1,Undergraduate Certificate or Diploma,31,39,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,1508,Mechanical Engineering Related Technologies/Technicians.,1,Undergraduate Certificate or Diploma,2,5,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,1513,Drafting/Design Engineering Technologies/Technicians.,1,Undergraduate Certificate or Diploma,9,10,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,1907,"Human Development, Family Studies, and Related Services.",1,Undergraduate Certificate or Diploma,53,36,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,2401,"Liberal Arts and Sciences, General Studies and Humanities.",1,Undergraduate Certificate or Diploma,112,137,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,4601,Mason/Masonry.,1,Undergraduate Certificate or Diploma,0,0,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,4603,Electrical and Power Transmission Installers.,1,Undergraduate Certificate or Diploma,4,14,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,4703,Heavy/Industrial Equipment Maintenance Technologies/Technicians.,1,Undergraduate Certificate or Diploma,21,24,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,4706,Vehicle Maintenance and Repair Technologies/Technicians.,1,Undergraduate Certificate or Diploma,10,0,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,4805,Precision Metal Working.,1,Undergraduate Certificate or Diploma,40,34,PS,PS,PS,16,36834,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,4807,Woodworking.,1,Undergraduate Certificate or Diploma,7,0,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,5108,Allied Health and Medical Assisting Services.,1,Undergraduate Certificate or Diploma,10,9,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,5109,"Allied Health Diagnostic, Intervention, and Treatment Professions.",1,Undergraduate Certificate or Diploma,71,51,PS,PS,PS,PS,PS,PS,PS
101286,1018,George C Wallace Community College-Dothan,Public,1,5139,"Practical Nursing, Vocational Nursing and Nursing Assistants.",1,Undergraduate Certificate or Diploma,80,69,PS,PS,32465,91,40106,43,46064
101286,1018,George C Wallace Community College-Dothan,Public,1,5204,Business Operations Support and Assistant Services.,1,Undergraduate Certificate or Diploma,28,21,PS,PS,NA,PS,PS,PS,PS
101295,7871,George C Wallace State Community College-Hanceville,Public,1,103,Agricultural Production Operations.,1,Undergraduate Certificate or Diploma,7,38,PS,PS,PS,PS,PS,PS,PS
101295,7871,George C Wallace State Community College-Hanceville,Public,1,1101,"Computer and Information Sciences, General.",1,Undergraduate Certificate or Diploma,33,38,PS,PS,PS,PS,PS,PS,PS
101295,7871,George C Wallace State Community College-Hanceville,Public,1,1204,Cosmetology and Related Personal Grooming Services.,1,Undergraduate Certificate or Diploma,24,23,PS,PS,PS,PS,PS,16,25174
101295,7871,George C Wallace State Community College-Hanceville,Public,1,1205,Culinary Arts and Related Services.,1,Undergraduate Certificate or Diploma,14,5,PS,PS,PS,PS,PS,PS,PS
101295,7871,George C Wallace State Community College-Hanceville,Public,1,1500,"Engineering Technologies/Technicians, General.",1,Undergraduate Certificate or Diploma,77,48,PS,PS,PS,PS,PS,PS,PS
101295,7871,George C Wallace State Community College-Hanceville,Public,1,1505,Environmental Control Technologies/Technicians.,1,Undergraduate Certificate or Diploma,48,48,PS,PS,PS,PS,PS,PS,PS
101295,7871,George C Wallace State Community College-Hanceville,Public,1,1506,Industrial Production Technologies/Technicians.,1,Undergraduate Certificate or Diploma,0,0,PS,PS,PS,PS,PS,PS,PS
